DATE,IR,GDP,CRED,ROE,LEV,NPL,INFLA,TARG,EMBI
2006-03-01,16.74,2225144.6,27.51,24.57,10.52,3.8,5.32,4.5,235
2006-04-01,16.19,2232996.3,27.94,24.55,10.61,4.0,4.63,4.5,218
2006-05-01,15.7,2253374.0,28.45,24.78,10.55,4.0,4.23,4.5,273
2006-06-01,15.18,2271564.1,28.44,24.67,10.45,3.8,4.03,4.5,254
2006-07-01,14.98,2294464.8,28.65,24.13,10.43,3.8,3.97,4.5,223
2006-08-01,14.66,2317036.2,28.68,24.14,10.65,3.9,3.84,4.5,223
2006-09-01,14.17,2336552.6,28.91,23.03,10.67,3.8,3.7,4.5,233
2006-10-01,13.95,2361641.3,29.22,23.16,10.6,3.9,3.26,4.5,223
2006-11-01,13.65,2386570.9,29.74,23.01,10.56,3.9,3.02,4.5,223
2006-12-01,13.19,2409449.9,30.12,22.77,10.39,3.7,3.14,4.5,192
2007-01-01,13.13,2435015.7,30.05,22.94,10.68,3.8,2.99,4.5,190
2007-02-01,12.93,2459237.3,30.21,23.98,10.75,3.8,3.02,4.5,195
2007-03-01,12.74,2486602.5,30.66,20.81,10.39,3.6,2.96,4.5,167
2007-04-01,12.58,2516700.4,31.07,21.55,10.67,3.6,3.0,4.5,156
2007-05-01,12.43,2545363.7,31.16,21.53,10.46,3.7,3.18,4.5,145
2007-06-01,12.03,2575280.3,31.28,21.97,10.49,3.5,3.69,4.5,160
2007-07-01,11.73,2602129.8,31.68,22.77,10.82,3.5,3.74,4.5,208
2007-08-01,11.43,2627330.9,32.35,22.39,10.7,3.5,4.18,4.5,195
2007-09-01,11.22,2649278.5,32.67,23.76,10.74,3.4,4.15,4.5,173
2007-10-01,11.18,2676946.2,33.21,24.45,10.89,3.3,4.12,4.5,167
2007-11-01,11.18,2699161.0,34.04,24.72,10.75,3.3,4.19,4.5,213
2007-12-01,11.18,2720262.9,34.7,24.66,10.7,3.2,4.46,4.5,221
2008-01-01,11.18,2746380.5,34.72,24.14,10.83,3.2,4.56,4.5,255
2008-02-01,11.18,2776357.9,34.85,23.22,10.87,3.2,4.61,4.5,265
2008-03-01,11.18,2800895.2,35.76,25.16,10.88,3.0,4.73,4.5,284
2008-04-01,11.37,2834561.8,36.23,24.71,10.74,3.1,5.04,4.5,218
2008-05-01,11.63,2862962.2,36.81,25.13,10.69,3.1,5.58,4.5,181
2008-06-01,12.09,2899765.6,37.14,24.94,10.52,3.1,6.06,4.5,228
2008-07-01,12.36,2944038.6,37.17,24.13,10.57,2.9,6.37,4.5,226
2008-08-01,12.92,2978255.1,37.59,23.7,11.48,3.0,6.17,4.5,240
2008-09-01,13.39,3020522.3,38.43,22.89,11.11,2.8,6.25,4.5,331
2008-10-01,13.66,3059105.4,39.0,21.76,10.77,3.0,6.41,4.5,449
2008-11-01,13.64,3087863.3,39.37,20.74,10.66,3.1,6.39,4.5,489
2008-12-01,13.66,3109803.1,39.68,19.2,10.38,3.2,5.9,4.5,428
2009-01-01,13.32,3122486.9,39.56,18.61,10.57,3.3,5.84,4.5,409
2009-02-01,12.66,3133825.9,39.4,17.75,10.48,3.5,5.9,4.5,421
2009-03-01,11.7,3153875.1,39.58,16.89,10.53,3.7,5.61,4.5,425
2009-04-01,11.11,3164637.8,39.64,16.08,10.57,4.1,5.53,4.5,255
